Part number;Mat;Fdn;d (mm);D (mm);Dd (mm);De (mm);Detol (mm);Dh (mm);Fn (N);Fntol (N);Lk (mm);L0 (mm);L0tol (mm);Ln (mm);sn (mm);S (mm);n (pc.);R (N/mm);Fndyn (N);Fndtol (N);Lndyn (mm);shdyn (mm);Gew (g);PG
D-001;EN 10270-1;Closed;0.2;2.9;2.3;3.1;0.25;3.4;0.46;0.1; ;7.5;0.96;2.68;4.82;1;7;0.095;0.433;0.1;2.97;4.53;0.0204;A
D-002;EN 10270-1;Closed;0.2;2.5;2;2.7;0.15;3.1;1.122;0.13; ;5.4;0.38;1.63;3.77;1.4;3.5;0.298;1.088;0.13;1.75;1.25;0.0107;A
D-003;EN 10270-1;Closed;0.2;2.5;2;2.7;0.15;3.1;1.144;0.12; ;8.2;0.53;2.17;6.03;1.4;5.5;0.19;1.11;0.12;2.35;1.92;0.0146;A
D-004;EN 10270-1;Closed;0.2;2.5;2;2.7;0.15;3.1;1.194;0.11; ;12.7;0.75;2.97;9.73;1.435;8.5;0.123;1.16;0.11;3.25;2.83;0.0205;A
D-005;EN 10270-1;Closed;0.2;2.5;2;2.7;0.15;3.1;1.232;0.1;14.53;18.8;1.03;4.04;14.76;1.464;12.5;0.083;1.198;0.1;4.45;4.04;0.0283;A
D-006;EN 10270-1;Closed;0.2;2.5;2;2.7;0.15;3.1;1.109;0.1;22.3;25.3;1.46;5.64;19.66;1.341;18.5;0.056;1.074;0.1;6.26;6.74;0.04;A
D-006A;EN 10270-1;Closed;0.2;2.3;1.9;2.5;0.15;2.9;1.092;0.13; ;5;0.34;1.74;3.26;1.125;4;0.335;1.052;0.12;1.86;1.32;0.0108;C
D-006B;EN 10270-1;Closed;0.2;2.3;1.9;2.5;0.15;2.9;1.157;0.12; ;8;0.48;2.39;5.61;1.154;6.5;0.206;1.117;0.12;2.58;2.07;0.0153;C
D-006C;EN 10270-1;Closed;0.2;2.3;1.9;2.5;0.15;2.9;1.118;0.11; ;10;0.6;2.91;7.09;1.118;8.5;0.158;1.078;0.11;3.16;2.75;0.0188;C
D-006D;EN 10270-1;Closed;0.2;2.3;1.9;2.5;0.15;2.9;1.185;0.11;10.18;15;0.83;3.95;11.05;1.16;12.5;0.107;1.145;0.11;4.32;3.84;0.026;C
D-006E;EN 10270-1;Closed;0.2;2.3;1.9;2.5;0.15;2.9;1.219;0.1;16.77;20;1.06;4.98;15.02;1.182;16.5;0.081;1.179;0.1;5.48;4.93;0.0332;C
D-007;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.295;0.15; ;3.8;0.22;1.58;2.23;0.943;3.5;0.582;1.246;0.15;1.66;0.83;0.0086;A
D-007A;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;0.713;0.12; ;4;0.3;2.08;1.93;0.636;5.5;0.37;0.663;0.12;2.21;1.79;0.0117;A
D-008;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.269;0.13; ;5.5;0.3;2.08;3.43;0.909;5.5;0.37;1.219;0.12;2.21;1.33;0.0117;A
D-008A;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.417;0.13; ;5.9;0.3;2.08;3.83;0.982;5.5;0.37;1.367;0.13;2.21;1.19;0.0117;A
D-009;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.336;0.12; ;8.4;0.43;2.83;5.58;0.929;8.5;0.24;1.285;0.12;3.04;1.95;0.0164;A
D-009A;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.408;0.12; ;8.7;0.43;2.83;5.88;0.965;8.5;0.24;1.357;0.12;3.04;1.85;0.0164;A
D-010;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.316;0.12;6.95;11.9;0.59;3.83;8.08;0.912;12.5;0.163;1.265;0.12;4.14;2.91;0.0226;A
D-010A;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.43;0.12;8.15;12.6;0.59;3.83;8.78;0.968;12.5;0.163;1.379;0.12;4.14;2.67;0.0226;A
D-011;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.374;0.11;15.07;17.8;0.84;5.33;12.48;0.935;18.5;0.11;1.323;0.11;5.79;4.14;0.032;A
D-011A;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.429;0.11;15.66;18.3;0.84;5.33;12.98;0.962;18.5;0.11;1.378;0.11;5.79;3.96;0.032;A
D-011B;EN 10270-1;Closed;0.2;1.8;1.3;2;0.15;2.4;0.994;0.16; ;2.8;0.18;1.56;1.24;0.657;3.5;0.799;0.934;0.15;1.63;0.85;0.0077;C
D-011C;EN 10270-1;Closed;0.2;1.8;1.3;2;0.15;2.4;1.197;0.14; ;4.4;0.24;2.04;2.36;0.709;5.5;0.508;1.133;0.14;2.17;1.19;0.0105;C
D-011D;EN 10270-1;Closed;0.2;1.8;1.3;2;0.15;2.4;1.323;0.13; ;6.8;0.34;2.78;4.02;0.741;8.5;0.329;1.263;0.13;2.96;1.71;0.0147;C
D-011E;EN 10270-1;Closed;0.2;1.8;1.3;2;0.15;2.4;1.397;0.13;4.79;10;0.48;3.75;6.25;0.76;12.5;0.224;1.335;0.13;4.03;2.4;0.0204;C
D-011F;EN 10270-1;Closed;0.2;1.8;1.3;2;0.15;2.4;1.447;0.12;12.09;14.8;0.68;5.22;9.58;0.773;18.5;0.151;1.385;0.12;5.63;3.44;0.0288;C
D-011G;EN 10270-1;Closed;0.2;1.6;1.1;1.8;0.08;2.1;1.777;0.19; ;3.1;0.14;1.54;1.56;0.743;3.5;1.137;1.694;0.19;1.61;0.46;0.0069;C
D-011H;EN 10270-1;Closed;0.2;1.6;1.1;1.8;0.08;2.1;1.725;0.17; ;4.4;0.2;2.02;2.38;0.709;5.5;0.724;1.65;0.17;2.12;0.74;0.0094;C
D-011J;EN 10270-1;Closed;0.2;1.6;1.1;1.8;0.08;2.1;1.717;0.16; ;6.4;0.28;2.73;3.67;0.694;8.5;0.468;1.639;0.16;2.9;1.15;0.0131;C
D-011K;EN 10270-1;Closed;0.2;1.6;1.1;1.8;0.08;2.1;1.754;0.15;4.94;9.2;0.39;3.69;5.51;0.696;12.5;0.318;1.675;0.15;3.94;1.65;0.0181;C
D-011L;EN 10270-1;Closed;0.2;1.6;1.1;1.8;0.08;2.1;1.758;0.15;10.92;13.3;0.55;5.13;8.17;0.692;18.5;0.215;1.68;0.14;5.49;2.43;0.0256;C
D-011M;EN 10270-1;Closed;0.2;1.2;0.8;1.4;0.08;1.7;2.135;0.31; ;2.3;0.1;1.51;0.79;0.514;3.5;2.695;1.994;0.31;1.56;0.26;0.0051;C
D-011N;EN 10270-1;Closed;0.2;1.2;0.8;1.4;0.08;1.7;2.111;0.27; ;3.2;0.14;1.97;1.23;0.491;5.5;1.715;1.972;0.27;2.05;0.42;0.007;C
D-011O;EN 10270-1;Closed;0.2;1.2;0.8;1.4;0.08;1.7;2.151;0.25; ;4.6;0.2;2.66;1.94;0.482;8.5;1.11;2.009;0.25;2.79;0.63;0.0098;C
D-011P;EN 10270-1;Closed;0.2;1.2;0.8;1.4;0.08;1.7;2.2;0.24;2.77;6.5;0.27;3.59;2.92;0.48;12.5;0.755;2.053;0.24;3.78;0.91;0.0136;C
D-011Q;EN 10270-1;Closed;0.2;1.2;0.8;1.4;0.08;1.7;2.208;0.23;7.35;9.3;0.38;4.97;4.33;0.476;18.5;0.51;2.065;0.23;5.25;1.33;0.0192;C
D-011R;EN 10270-1;Closed;0.2;1;0.6;1.2;0.07;1.4;2.346;0.44; ;2;0.09;1.5;0.5;0.429;3.5;4.657;2.142;0.44;1.54;0.18;0.0043;C
D-011S;EN 10270-1;Closed;0.2;1;0.6;1.2;0.07;1.4;2.219;0.4; ;2.7;0.12;1.95;0.75;0.4;5.5;2.964;1.986;0.38;2.03;0.31;0.0059;C
D-011T;EN 10270-1;Closed;0.2;1;0.6;1.2;0.07;1.4;2.428;0.36; ;3.9;0.17;2.63;1.27;0.4;8.5;1.918;2.205;0.35;2.75;0.44;0.0082;C
D-011U;EN 10270-1;Closed;0.2;1;0.6;1.2;0.07;1.4;2.551;0.34;2.53;5.5;0.23;3.54;1.96;0.4;12.5;1.304;2.321;0.34;3.72;0.61;0.0113;C
D-011V;EN 10270-1;Closed;0.2;1;0.6;1.2;0.07;1.4;2.547;0.33;6.19;7.8;0.33;4.91;2.89;0.395;18.5;0.881;2.326;0.32;5.16;0.9;0.016;C
D-011W;EN 10270-1;Closed;0.25;4.4;3.7;4.65;0.3;5.1;0.288;0.16; ;4.4;1.14;2.24;2.16;1.079;3.5;0.133;0.255;0.16;2.49;1.91;0.0295;A
D-011X;EN 10270-1;Closed;0.25;4.4;3.7;4.65;0.3;5.1;0.422;0.14; ;8;1.57;3.03;4.97;1.341;5.5;0.085;0.39;0.14;3.41;4.59;0.0402;A
D-011Y;EN 10270-1;Closed;0.25;4.4;3.7;4.65;0.3;5.1;0.594;0.13; ;15;2.21;4.2;10.8;1.691;8.5;0.055;0.561;0.13;4.8;10.2;0.0563;A
D-011Z;EN 10270-1;Closed;0.25;4.4;3.7;4.65;0.3;5.1;0.611;0.12; ;22.1;3.06;5.76;16.34;1.718;12.5;0.037;0.577;0.12;6.65;15.45;0.0778;A
D-011Z-01;EN 10270-1;Closed;0.25;4.4;3.7;4.65;0.3;5.1;0.533;0.12;20.23;29.2;4.33;8.11;21.09;1.545;18.5;0.025;0.499;0.12;9.42;19.78;0.11;A
D-012;EN 10270-1;Closed;0.25;3.2;2.5;3.45;0.2;4;1.682;0.19; ;6.9;0.48;2.05;4.85;1.793;3.5;0.347;1.631;0.19;2.2;1.68;0.0215;A
D-012A;EN 10270-1;Closed;0.25;3.2;2.5;3.45;0.2;4;1.751;0.19; ;7.1;0.48;2.05;5.05;1.85;3.5;0.347;1.7;0.19;2.2;1.61;0.0215;A
D-013;EN 10270-1;Closed;0.25;3.2;2.5;3.45;0.2;4;1.739;0.17; ;10.6;0.66;2.73;7.87;1.814;5.5;0.221;1.687;0.17;2.96;2.54;0.0293;A
D-013A;EN 10270-1;Closed;0.25;3.2;2.5;3.45;0.2;4;1.761;0.17; ;10.7;0.66;2.73;7.97;1.832;5.5;0.221;1.709;0.17;2.96;2.51;0.0293;A
D-013B;EN 10270-1;Closed;0.25;3.2;2.5;3.45;0.2;4;1.767;0.16; ;16.1;0.93;3.73;12.37;1.821;8.5;0.143;1.715;0.16;4.1;3.86;0.041;A
D-014;EN 10270-1;Closed;0.25;3.2;2.5;3.45;0.2;4;1.781;0.16; ;16.2;0.93;3.73;12.47;1.832;8.5;0.143;1.729;0.16;4.1;3.83;0.041;A
D-015;EN 10270-1;Closed;0.25;3.2;2.5;3.45;0.2;4;1.712;0.15;16.85;22.7;1.29;5.08;17.62;1.766;12.5;0.097;1.659;0.15;5.62;5.89;0.0566;A
D-015A;EN 10270-1;Closed;0.25;3.2;2.5;3.45;0.2;4;1.77;0.15;17.66;23.3;1.29;5.08;18.22;1.814;12.5;0.097;1.718;0.15;5.62;5.69;0.0566;A
D-016;EN 10270-1;Closed;0.25;3.2;2.5;3.45;0.2;4;1.661;0.14;28.66;32.4;1.82;7.1;25.3;1.718;18.5;0.066;1.608;0.14;7.9;8.93;0.08;A
D-016A;EN 10270-1;Closed;0.25;3.2;2.5;3.45;0.2;4;1.772;0.15;30.57;34.1;1.82;7.1;27;1.809;18.5;0.066;1.72;0.15;7.9;8.34;0.08;A
D-016B;EN 10270-1;Closed;0.25;2.95;2.3;3.2;0.2;2.5;1.501;0.17; ;8;0.53;2.67;5.33;1.341;5.5;0.282;1.44;0.17;2.89;2.6;0.027;C
D-016C;EN 10270-1;Closed;0.25;2.95;2.3;3.2;0.2;3.5;1.648;0.16; ;12;0.71;3.49;8.51;1.422;8;0.194;1.589;0.16;3.8;3.62;0.036;C
D-016D;EN 10270-1;Closed;0.25;2.95;2.3;3.2;0.2;3.5;1.682;0.16; ;15;0.86;4.15;10.85;1.438;10;0.155;1.623;0.16;4.53;4.33;0.0432;C
D-016E;EN 10270-1;Closed;0.25;2.95;2.3;3.2;0.2;3.5;1.705;0.16;11.05;18;1;4.8;13.2;1.448;12;0.129;1.646;0.15;5.26;5.14;0.0503;C
D-016F;EN 10270-1;Closed;0.25;2.95;2.3;3.2;0.2;3.5;1.689;0.15;14.18;20;1.11;5.29;14.71;1.435;13.5;0.115;1.629;0.15;5.81;5.99;0.0557;C
D-017;EN 10270-1;Closed;0.25;2.5;1.9;2.75;0.15;3.1;2.06;0.22; ;4.8;0.26;1.97;2.83;1.193;3.5;0.728;1.979;0.22;2.08;1.02;0.0168;A
D-017A;EN 10270-1;Closed;0.25;2.5;1.9;2.75;0.15;3.1;2.133;0.22; ;4.9;0.26;1.97;2.93;1.221;3.5;0.728;2.052;0.22;2.08;0.98;0.0168;A
D-018;EN 10270-1;Closed;0.25;2.5;1.9;2.75;0.15;3.1;2.179;0.2; ;7.3;0.36;2.59;4.71;1.214;5.5;0.463;2.098;0.2;2.77;1.51;0.0229;A
D-019;EN 10270-1;Closed;0.25;2.5;1.9;2.75;0.15;3.1;2.208;0.18; ;10.9;0.5;3.53;7.37;1.209;8.5;0.3;2.127;0.18;3.8;2.3;0.032;A
D-020;EN 10270-1;Closed;0.25;2.5;1.9;2.75;0.15;3.1;2.164;0.17;9.61;15.4;0.69;4.78;10.62;1.182;12.5;0.204;2.084;0.17;5.17;3.45;0.0442;A
D-020A;EN 10270-1;Closed;0.25;2.5;1.9;2.75;0.15;3.1;2.225;0.18;10.11;15.7;0.69;4.78;10.92;1.206;12.5;0.204;2.145;0.17;5.17;3.35;0.0442;A
D-021;EN 10270-1;Closed;0.25;2.5;1.9;2.75;0.15;3.1;2.222;0.17;19.49;22.8;0.98;6.66;16.14;1.199;18.5;0.138;2.144;0.17;7.23;4.96;0.0625;A
D-021A;EN 10270-1;Closed;0.25;2.5;1.9;2.75;0.15;3.1;2.236;0.17;19.61;22.9;0.98;6.66;16.24;1.204;18.5;0.138;2.157;0.17;7.23;4.92;0.0625;A
D-021B;EN 10270-1;Closed;0.25;2.25;1.6;2.5;0.15;2.9;1.815;0.22; ;5;0.27;2.4;2.6;0.875;5;0.699;1.719;0.21;2.54;1.38;0.0192;A
D-021C;EN 10270-1;Closed;0.25;2.25;1.6;2.5;0.15;2.9;2.045;0.2; ;8;0.38;3.32;4.68;0.922;8;0.437;1.948;0.2;3.54;2.03;0.0274;A
D-021D;EN 10270-1;Closed;0.25;2.25;1.6;2.5;0.15;2.9;2.121;0.19; ;10;0.46;3.93;6.07;0.938;10;0.349;2.023;0.19;4.21;2.47;0.0329;A
D-021E;EN 10270-1;Closed;0.25;2.25;1.6;2.5;0.15;2.9;2.182;0.19;5.98;12.5;0.56;4.69;7.81;0.95;12.5;0.279;2.085;0.19;5.04;3.01;0.0398;A
D-021F;EN 10270-1;Closed;0.25;2.25;1.6;2.5;0.15;2.9;2.236;0.19;11.87;16;0.69;5.76;10.24;0.961;16;0.218;2.14;0.18;6.2;3.77;0.0494;A
D-022;EN 10270-1;Closed;0.25;2;1.5;2.25;0.1;2.6;2.386;0.28; ;3.6;0.17;1.92;1.68;0.85;3.5;1.421;2.26;0.28;2.01;0.66;0.0134;A
D-022A;EN 10270-1;Closed;0.25;2;1.5;2.25;0.1;2.6;2.528;0.28; ;3.7;0.17;1.92;1.78;0.879;3.5;1.421;2.402;0.28;2.01;0.63;0.0134;A
D-023;EN 10270-1;Closed;0.25;2;1.5;2.25;0.1;2.6;2.515;0.25; ;5.3;0.23;2.52;2.78;0.85;5.5;0.904;2.397;0.25;2.65;0.99;0.0183;A
D-023A;EN 10270-1;Closed;0.25;2;1.5;2.25;0.1;2.6;2.696;0.25; ;5.5;0.23;2.52;2.98;0.886;5.5;0.904;2.578;0.25;2.65;0.92;0.0183;A
D-024;EN 10270-1;Closed;0.25;2;1.5;2.25;0.1;2.6;2.565;0.23; ;7.8;0.33;3.42;4.38;0.844;8.5;0.585;2.446;0.23;3.62;1.5;0.0256;A
D-024A;EN 10270-1;Closed;0.25;2;1.5;2.25;0.1;2.6;2.682;0.23; ;8;0.33;3.42;4.58;0.868;8.5;0.585;2.563;0.23;3.62;1.43;0.0256;A
D-025;EN 10270-1;Closed;0.25;2;1.5;2.25;0.1;2.6;2.582;0.22;5.29;11.1;0.45;4.61;6.49;0.838;12.5;0.398;2.459;0.22;4.92;2.2;0.0354;A
D-025A;EN 10270-1;Closed;0.25;2;1.5;2.25;0.1;2.6;2.701;0.22;5.97;11.4;0.45;4.61;6.79;0.862;12.5;0.398;2.579;0.22;4.92;2.09;0.0354;A
D-026;EN 10270-1;Closed;0.25;2;1.5;2.25;0.1;2.6;2.633;0.21;13.13;16.2;0.64;6.41;9.79;0.842;18.5;0.269;2.511;0.21;6.86;3.18;0.05;A
D-026A;EN 10270-1;Closed;0.25;2;1.5;2.25;0.1;2.6;2.741;0.21;13.62;16.6;0.64;6.41;10.19;0.864;18.5;0.269;2.619;0.21;6.86;3.05;0.05;A
D-026B;EN 10270-1;Closed;0.25;1.75;1.2;2;0.1;2.4;2.754;0.34; ;3.2;0.14;1.9;1.3;0.736;3.5;2.122;2.588;0.34;1.98;0.49;0.0117;A
D-026C;EN 10270-1;Closed;0.25;1.75;1.2;2;0.1;2.4;3.256;0.31; ;4.9;0.19;2.49;2.41;0.777;5.5;1.35;3.092;0.31;2.61;0.64;0.016;A
D-026D;EN 10270-1;Closed;0.25;1.75;1.2;2;0.1;2.4;3.347;0.29; ;7.2;0.27;3.37;3.83;0.774;8.5;0.874;3.189;0.29;3.55;0.94;0.0224;A
D-026E;EN 10270-1;Closed;0.25;1.75;1.2;2;0.1;2.4;3.42;0.28;5.87;10.3;0.38;4.54;5.76;0.774;12.5;0.594;3.214;0.27;4.89;1.39;0.0309;A
D-026F;EN 10270-1;Closed;0.25;1.75;1.2;2;0.1;2.4;3.491;0.27;12.58;15;0.53;6.3;8.7;0.777;18.5;0.401;3.331;0.26;6.7;1.99;0.0437;A
D-026G;EN 10270-1;Closed;0.25;1.6;1;1.85;0.08;2.2;3.078;0.4; ;3;0.13;1.89;1.11;0.679;3.5;2.776;2.887;0.4;1.96;0.39;0.0107;A
D-026H;EN 10270-1;Closed;0.25;1.6;1;1.85;0.08;2.2;3.229;0.36; ;4.3;0.17;2.47;1.83;0.668;5.5;1.766;3.038;0.36;2.58;0.58;0.0146;A
D-026J;EN 10270-1;Closed;0.25;1.6;1;1.85;0.08;2.2;3.266;0.33; ;6.2;0.25;3.34;2.86;0.656;8.5;1.143;3.075;0.33;3.51;0.88;0.0205;A
D-026K;EN 10270-1;Closed;0.25;1.6;1;1.85;0.08;2.2;3.261;0.31;3.78;8.7;0.34;4.5;4.2;0.646;12.5;0.777;3.062;0.31;4.76;1.3;0.0283;A
D-026L;EN 10270-1;Closed;0.25;1.6;1;1.85;0.08;2.2;3.284;0.3;9.92;12.5;0.48;6.25;6.25;0.642;18.5;0.525;3.088;0.3;6.62;1.91;0.04;A
D-026M;EN 10270-1;Closed;0.25;1.2;0.7;1.45;0.08;1.8;3.502;0.7; ;2.4;0.1;1.87;0.53;0.507;3.5;6.58;3.093;0.69;1.93;0.23;0.008;A
D-026N;EN 10270-1;Closed;0.25;1.2;0.7;1.45;0.08;1.8;3.622;0.62; ;3.3;0.13;2.44;0.86;0.486;5.5;4.187;3.224;0.61;2.53;0.35;0.011;A
D-026O;EN 10270-1;Closed;0.25;1.2;0.7;1.45;0.08;1.8;3.831;0.57; ;4.7;0.19;3.29;1.41;0.479;8.5;2.709;3.441;0.56;3.43;0.51;0.0154;A
D-026P;EN 10270-1;Closed;0.25;1.2;0.7;1.45;0.08;1.8;4.015;0.54;3.04;6.6;0.26;4.42;2.18;0.478;12.5;1.842;3.629;0.54;4.63;0.72;0.0212;A
D-026Q;EN 10270-1;Closed;0.25;1.2;0.7;1.45;0.08;1.8;4.08;0.52;7.47;9.4;0.37;6.12;3.28;0.474;18.5;1.245;3.697;0.52;6.43;1.04;0.03;A
D-026Q-10;EN 10270-1;Closed;0.3;3.7;2.9;4;0.2;4.5;3.028;0.34;11.68;5;0.32;1.75;3.25;2.43;1.75;0.931;2.951;0.38;1.83;0.75;0.0244;A
D-026Q-11;EN 10270-1;Closed;0.3;3.7;2.9;4;0.2;4.5;2.577;0.3;10.85;6;0.4;2.05;3.95;2.1;2.5;0.652;2.496;0.3;2.17;1.33;0.0292;A
D-026R-01;EN 10270-1;Closed;0.3;3.7;2.9;4;0.2;4.5;2.12;0.26; ;7;0.49;2.44;4.56;1.786;3.5;0.465;2.039;0.26;2.62;2.15;0.0357;A
D-026R-02;EN 10270-1;Closed;0.3;3.7;2.9;4;0.2;4.5;2.298;0.24; ;11;0.68;3.24;7.76;1.864;5.5;0.296;2.219;0.24;3.51;3.17;0.0487;A
D-026R-03;EN 10270-1;Closed;0.3;3.7;2.9;4;0.2;4.5;2.408;0.22; ;17;0.96;4.44;12.56;1.912;8.5;0.192;2.327;0.22;4.86;4.69;0.0682;A
D-026R-04;EN 10270-1;Closed;0.3;3.7;2.9;4;0.2;4.5;2.472;0.21;17.66;25;1.32;6.03;18.97;1.94;12.5;0.13;2.392;0.21;6.65;6.75;0.0942;A
D-026R-05;EN 10270-1;Closed;0.3;3.7;2.9;4;0.2;4.5;2.517;0.2;32.61;37;1.87;8.42;28.58;1.959;18.5;0.088;2.437;0.2;9.33;9.8;0.1331;A
D-026R-10;EN 10270-1;Closed;0.3;2.9;2.1;3.2;0.2;3.8;2.56;0.3; ;5;0.27;2.35;2.65;1.214;3.5;0.967;2.436;0.3;2.48;1.31;0.028;A
D-026R-11;EN 10270-1;Closed;0.3;2.9;2.1;3.2;0.2;3.8;2.832;0.28; ;7.7;0.38;3.1;4.6;1.264;5.5;0.615;2.713;0.27;3.29;1.92;0.0382;A
D-026R-12;EN 10270-1;Closed;0.3;2.9;2.1;3.2;0.2;3.8;3.1;0.26; ;12;0.53;4.21;7.79;1.324;8.5;0.398;2.977;0.26;4.52;2.72;0.0535;A
D-026R-13;EN 10270-1;Closed;0.3;2.9;2.1;3.2;0.2;3.8;3.194;0.25;10.52;17.5;0.73;5.7;11.8;1.34;12.5;0.271;3.072;0.25;6.15;3.88;0.0738;A
D-026R-14;EN 10270-1;Closed;0.3;2.9;2.1;3.2;0.2;3.8;3.304;0.24;22.08;26;1.04;7.93;18.07;1.365;18.5;0.183;3.182;0.24;8.6;5.54;0.1044;A
D-026R-20;EN 10270-1;Closed;0.3;2.2;1.5;2.5;0.1;2.8;1.13;0.4; ;2.8;0.17;2.29;0.51;0.586;3.5;2.214;0.93;0.4;2.38;0.42;0.0212;A
D-026R-21;EN 10270-1;Closed;0.3;2.2;1.5;2.5;0.1;2.8;2.116;0.36; ;4.5;0.23;3;1.5;0.682;5.5;1.409;1.902;0.36;3.15;1.35;0.029;A
D-026R-22;EN 10270-1;Closed;0.3;2.2;1.5;2.5;0.1;2.8;2.497;0.34; ;6.8;0.33;4.06;2.74;0.712;8.5;0.912;2.288;0.34;4.29;2.06;0.0405;A
D-026R-23;EN 10270-1;Closed;0.3;2.2;1.5;2.5;0.1;2.8;2.804;0.33; ;10;0.45;5.48;4.52;0.74;12.5;0.62;2.591;0.32;5.82;2.86;0.056;A
D-026R-24;EN 10270-1;Closed;0.3;2.2;1.5;2.5;0.1;2.8;3.015;0.32;10.41;14.8;0.64;7.6;7.2;0.759;18.5;0.419;2.807;0.31;8.1;4.05;0.0792;A
D-026X;EN 10270-1;Closed;0.3;3.3;2.6;3.6;0.2;4.1;3.214;0.24;7.92;18;0.78;4.7;13.3;1.816;9.5;0.242;3.118;0.24;5.1;3.35;0.0666;A
D-027;EN 10270-1;Closed;0.3;1.9;1.3;2.2;0.1;2.6;7.314;0.48;9.31;13;0.38;5.4;7.6;0.98;12.5;0.962;6.371;0.47;6.38;0.86;0.0484;A
D-027A;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;3.465;0.38; ;5.5;0.35;1.87;3.63;2.686;1.75;0.954;3.376;0.38;1.96;0.81;0.03;B
D-027B;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;3.213;0.34; ;7;0.43;2.19;4.81;2.48;2.5;0.668;3.125;0.38;2.32;1.29;0.0359;B
D-028;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;2.807;0.3; ;8.5;0.53;2.61;5.89;2.2;3.5;0.477;2.718;0.3;2.8;2.05;0.0439;B
D-028A;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;2.902;0.3; ;8.7;0.53;2.61;6.09;2.257;3.5;0.477;2.814;0.3;2.8;1.98;0.0439;B
D-029;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;2.802;0.27; ;12.7;0.74;3.47;9.23;2.164;5.5;0.303;2.713;0.26;3.76;3.23;0.0599;B
D-029A;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;2.923;0.27; ;13.1;0.74;3.47;9.63;2.236;5.5;0.303;2.834;0.27;3.76;3.09;0.0599;B
D-030;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;2.838;0.25; ;19.2;1.04;4.75;14.45;2.165;8.5;0.196;2.749;0.25;5.2;4.93;0.0839;B
D-030A;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;1.782;0.22; ;19.8;1.44;6.46;13.34;1.52;12.5;0.134;1.692;0.22;7.13;9.95;0.1158;B
D-030B;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;2.957;0.24;21.31;28.6;1.44;6.46;22.14;2.224;12.5;0.134;2.867;0.24;7.13;6.91;0.1158;B
D-031;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;2.997;0.24;21.72;28.9;1.44;6.46;22.44;2.248;12.5;0.134;2.907;0.24;7.13;6.8;0.1158;B
D-032;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;2.94;0.23;37.06;41.6;2.03;9.02;32.58;2.205;18.5;0.09;2.85;0.23;10.01;10.25;0.1638;B
D-032A;EN 10270-1;Closed;0.32;4;3.2;4.32;0.2;4.8;2.967;0.23;37.4;41.9;2.03;9.02;32.88;2.222;18.5;0.09;2.877;0.23;10.01;10.25;0.1638;B
D-033;EN 10270-1;Closed;0.32;3.2;2.4;3.52;0.2;4;3.335;0.34; ;6.1;0.31;2.52;3.58;1.514;3.5;0.931;3.204;0.34;2.66;1.32;0.0352;B
D-033A;EN 10270-1;Closed;0.32;3.2;2.4;3.52;0.2;4;3.521;0.34; ;6.3;0.31;2.52;3.78;1.571;3.5;0.931;3.39;0.34;2.66;1.25;0.0352;B
D-034;EN 10270-1;Closed;0.32;3.2;2.4;3.52;0.2;4;3.426;0.3; ;9.1;0.42;3.32;5.78;1.509;5.5;0.593;3.296;0.3;3.54;2.05;0.0479;B
D-034A;EN 10270-1;Closed;0.32;3.2;2.4;3.52;0.2;4;3.604;0.31; ;9.4;0.42;3.32;6.08;1.564;5.5;0.593;3.473;0.3;3.54;1.95;0.0479;B
D-035;EN 10270-1;Closed;0.32;3.2;2.4;3.52;0.2;4;3.521;0.28; ;13.7;0.6;4.52;9.18;1.518;8.5;0.384;3.39;0.28;4.86;3.03;0.0671;B
D-035A;EN 10270-1;Closed;0.32;3.2;2.4;3.52;0.2;4;3.636;0.28; ;14;0.6;4.52;9.48;1.553;8.5;0.384;3.505;0.28;4.86;2.93;0.0671;B
D-036;EN 10270-1;Closed;0.32;3.2;2.4;3.52;0.2;4;3.49;0.27;11.94;19.5;0.83;6.12;13.38;1.496;12.5;0.261;3.359;0.27;6.62;4.5;0.0927;B
